author_id,created_at,created_at_user,location,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_like_count,public_metrics_listed_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,public_metrics_tweet_count,source,text,tweet_id,username
1214284580,2018-12-31T23:43:57.000Z,2013-02-24T02:46:06.000Z,"Durban, South Africa 🇿🇦",Vaccinated Renaissance Man💉😷,2547,1331,2,15,0,0,0,53716,Twitter for Android,@RationalEtienne @rm_natasha @TradrFloridaFIL @Sofiaan @28delayslater @WadeAndersonPT @TSLA_Tom @ICannot_Enough @TrCCper @kimpaquette @Manic_Marge @JohnnaCrider1 @AngelNDevil2 @ElonsBrain Great! Post pics!😁,1079885905920438272,Hein_The_Slayer
187896454,2018-12-31T23:43:39.000Z,2010-09-07T12:49:16.000Z,Louisiana,lui toth,39249,42551,2,298,1,0,3,30125,Twitter Web Client,"Bottom Filled on $WDBG Closed up 23% , Ready to move above 52 week High .027 $MSPC $MYLI $WWIO $NOUV $ONCI $RNVA $NSAV $ACB $SGCP $VAPE $KALY $GTHP $BLPG $GGII $AAPL $TSLA $FB $DKSC $GIFX $MSFT $BLPG $RSHN $NNRX $AMZN $AMRN $FUSZ $GTHP $MGTI $BRK.B $COBI $HRI $DNAD $MDIN $MLHC https://t.co/mNif7XfObc",1079885830146215936,sprtcrdlui
1042888795501289472,2018-12-31T23:43:19.000Z,2018-09-20T21:30:39.000Z,,Capvalue89,14,923,0,0,0,0,60,1192,Twitter for iPhone,"RT @ElonBachman: Am I hallucinating? $TSLA just named two Theranos investors to its board.

https://t.co/HkkdDwOspw",1079885743437295617,CapitalOnValue
52166491,2018-12-31T23:42:52.000Z,2009-06-29T19:50:44.000Z,"Colorado City, AZ","Hand washing, Social distancing Christ",11103,12347,5,11,0,0,0,20243,Twitter for Android,@Hein_The_Sayer @RationalEtienne @rm_natasha @TradrFloridaFIL @Sofiaan @28delayslater @WadeAndersonPT @TSLA_Tom @ICannot_Enough @kimpaquette @Manic_Marge @JohnnaCrider1 @AngelNDevil2 @ElonsBrain I'm totally gonna do this now! Haha!,1079885632258756608,TrCCper
1057480999943032832,2018-12-31T23:42:50.000Z,2018-10-31T03:54:52.000Z,"California, USA",Pac_Watson🤕🤒😷,1128,1181,0,15,0,0,14,9015,Twitter for Android,RT @Paul_M_Huettner: Here’s the tweet @the_scott_davis just posted which could potentially be tax fraud perpetrated by $TSLA. He has since…,1079885624130265089,pac_watson
1020627011008540672,2018-12-31T23:42:45.000Z,2018-07-21T11:10:16.000Z,🌎,🧠,7528,2342,0,56,0,0,3,20949,Twitter for iPhone,RT @Hein_The_Sayer: @RationalEtienne @rm_natasha @TradrFloridaFIL @Sofiaan @28delayslater @WadeAndersonPT @TSLA_Tom @ICannot_Enough @TrCCpe…,1079885602290450432,ElonsBrain
15315204,2018-12-31T23:42:30.000Z,2008-07-04T05:03:23.000Z,"Austin, TX",The Geezer,3612,4997,0,0,0,0,0,259562,Google,A Geezer$ Alert :  AAPL: Will Apple Get Its Mojo Back? https://t.co/EBpuiPQSrO,1079885540957270016,no2l
15315204,2018-12-31T23:42:30.000Z,2008-07-04T05:03:23.000Z,"Austin, TX",The Geezer,3612,4997,0,0,0,0,0,259562,Google,A Geezer$ Alert :  AAPL: How Much Stock Could Apple Have Repurchased In Fourth Quarter? https://t.co/VLX77ZWsX8,1079885539837390854,no2l
52166491,2018-12-31T23:42:27.000Z,2009-06-29T19:50:44.000Z,"Colorado City, AZ","Hand washing, Social distancing Christ",11103,12347,0,11,0,0,3,20243,Twitter for Android,RT @Hein_The_Sayer: @RationalEtienne @rm_natasha @TradrFloridaFIL @Sofiaan @28delayslater @WadeAndersonPT @TSLA_Tom @ICannot_Enough @TrCCpe…,1079885524825890818,TrCCper
666913,2018-12-31T23:42:16.000Z,2007-01-19T19:13:08.000Z,everywhere and nowhere,~C4Chaos🔆,6784,6977,0,343,0,0,37,102908,Twitter for iPhone,RT @GerberKawasaki: If my yahoo tells me right. Tesla was one of the best performing stocks in 2018 with a positive return for the year. Va…,1079885478499823616,c4chaos
1214284580,2018-12-31T23:41:58.000Z,2013-02-24T02:46:06.000Z,"Durban, South Africa 🇿🇦",Vaccinated Renaissance Man💉😷,2547,1331,6,15,0,2,3,53716,Twitter for Android,@RationalEtienne @rm_natasha @TradrFloridaFIL @Sofiaan @28delayslater @WadeAndersonPT @TSLA_Tom @ICannot_Enough @TrCCper @kimpaquette @Manic_Marge @JohnnaCrider1 @AngelNDevil2 @ElonsBrain https://t.co/cD8oE558LF,1079885406970228736,Hein_The_Slayer
1730405706,2018-12-31T23:41:53.000Z,2013-09-05T01:31:12.000Z,Online,Justin,2664,568,3,56,0,2,0,27026,Twitter for iPhone,Amusingly High quality clip not sure about the noise at the end. $tsla https://t.co/EDm10RJZA4,1079885382500593664,Trumpery45
55991139,2018-12-31T23:41:34.000Z,2009-07-12T02:10:03.000Z,"Michigan, USA",Grainman Sachs,3305,452,15,69,1,2,0,40915,Twitter Web App,@GerberKawasaki Congrats on a rockin 3.8% gain for $TSLA in 2018 (which all happened since Friday).,1079885303786209280,GrainSurgeon
1058476563690373120,2018-12-31T23:41:23.000Z,2018-11-02T21:50:53.000Z,State of Denial,Reboticon,1765,2068,1,20,0,1,0,29935,Twitter Web Client,"@Gordon_GekkoZ COUGH $TSLA COUGH

Why couldn't I have gotten obsessed with $WATT...",1079885259771138049,Reboticant
1023266600223481856,2018-12-31T23:41:21.000Z,2018-07-28T17:59:03.000Z,,Polixenes,4163,1023,2,102,0,1,0,13389,Twitter Web Client,"@DeanSheikh1 @Jekajojo @schlosta2 @elonmusk @Tesla @WallStCynic @markbspiegel I must say I'm amazed at how @Jekajojo was so ready with the (inapposite) case authority. Any connection to $TSLA, Jeka?",1079885248568135680,Polixenes13
919523760,2018-12-31T23:40:46.000Z,2012-11-01T17:52:10.000Z,Israel,eliranngr,217,325,0,125,0,0,11,11598,Twitter for iPhone,RT @evannex_com: Does it make sense to pull the trigger on a #TeslaModel3 purchase today? Read here: https://t.co/PvVfwzyFjj $TSLA #TeslaMo…,1079885101901725696,eliranngr
